t_s,x_m,y_m,z_m
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01
5.000000000000000000e-01,1.100000000000000000e+01,0.000000000000000000e+00,4.100000000000000000e+01
1.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00,4.200000000000000000e+01
1.500000000000000000e+00,3.300000000000000000e+01,0.000000000000000000e+00,4.300000000000000000e+01
2.000000000000000000e+00,4.400000000000000000e+01,0.000000000000000000e+00,4.400000000000000000e+01
2.500000000000000000e+00,5.500000000000000000e+01,0.000000000000000000e+00,4.500000000000000000e+01
3.000000000000000000e+00,6.600000000000000000e+01,0.000000000000000000e+00,4.600000000000000000e+01
3.500000000000000000e+00,7.700000000000000000e+01,0.000000000000000000e+00,4.700000000000000000e+01
4.000000000000000000e+00,8.800000000000000000e+01,0.000000000000000000e+00,4.800000000000000000e+01
4.500000000000000000e+00,9.900000000000000000e+01,0.000000000000000000e+00,4.900000000000000000e+01
5.000000000000000000e+00,1.100000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+01
5.500000000000000000e+00,1.210000000000000000e+02,0.000000000000000000e+00,5.100000000000000000e+01
6.000000000000000000e+00,1.320000000000000000e+02,0.000000000000000000e+00,5.200000000000000000e+01
6.500000000000000000e+00,1.430000000000000000e+02,0.000000000000000000e+00,5.300000000000000000e+01
7.000000000000000000e+00,1.540000000000000000e+02,0.000000000000000000e+00,5.400000000000000000e+01
7.500000000000000000e+00,1.650000000000000000e+02,0.000000000000000000e+00,5.500000000000000000e+01
8.000000000000000000e+00,1.760000000000000000e+02,0.000000000000000000e+00,5.600000000000000000e+01
8.500000000000000000e+00,1.870000000000000000e+02,0.000000000000000000e+00,5.700000000000000000e+01
9.000000000000000000e+00,1.980000000000000000e+02,0.000000000000000000e+00,5.800000000000000000e+01
9.500000000000000000e+00,2.090000000000000000e+02,0.000000000000000000e+00,5.900000000000000000e+01
1.000000000000000000e+01,2.200000000000000000e+02,0.000000000000000000e+00,6.000000000000000000e+01
1.050000000000000000e+01,2.310000000000000000e+02,0.000000000000000000e+00,6.100000000000000000e+01
1.100000000000000000e+01,2.420000000000000000e+02,0.000000000000000000e+00,6.200000000000000000e+01
1.150000000000000000e+01,2.530000000000000000e+02,0.000000000000000000e+00,6.300000000000000000e+01
1.200000000000000000e+01,2.640000000000000000e+02,0.000000000000000000e+00,6.400000000000000000e+01
1.250000000000000000e+01,2.750000000000000000e+02,0.000000000000000000e+00,6.500000000000000000e+01
1.300000000000000000e+01,2.860000000000000000e+02,0.000000000000000000e+00,6.600000000000000000e+01
1.350000000000000000e+01,2.970000000000000000e+02,0.000000000000000000e+00,6.700000000000000000e+01
1.400000000000000000e+01,3.080000000000000000e+02,0.000000000000000000e+00,6.800000000000000000e+01
1.450000000000000000e+01,3.190000000000000000e+02,0.000000000000000000e+00,6.900000000000000000e+01
1.500000000000000000e+01,3.300000000000000000e+02,0.000000000000000000e+00,7.000000000000000000e+01
1.550000000000000000e+01,3.410000000000000000e+02,0.000000000000000000e+00,7.100000000000000000e+01
1.600000000000000000e+01,3.520000000000000000e+02,0.000000000000000000e+00,7.200000000000000000e+01
1.650000000000000000e+01,3.630000000000000000e+02,0.000000000000000000e+00,7.300000000000000000e+01
1.700000000000000000e+01,3.740000000000000000e+02,0.000000000000000000e+00,7.400000000000000000e+01
