t_s,x_m,y_m,z_m
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+01
5.000000000000000000e-01,8.248066542201257789e+00,9.740861945456504856e+00,8.000000000000000000e+01
1.000000000000000000e+00,1.648453560000331564e+01,1.942695722156789984e+01,8.000000000000000000e+01
1.500000000000000000e+00,2.469782599605828466e+01,2.900382707712690333e+01,8.000000000000000000e+01
2.000000000000000000e+00,3.287638914419182612e+01,3.841762686597414245e+01,8.000000000000000000e+01
2.500000000000000000e+00,4.100872528769937730e+01,4.761542878118618205e+01,8.000000000000000000e+01
3.000000000000000000e+00,4.908339966898399354e+01,5.654551943445992634e+01,8.000000000000000000e+01
3.500000000000000000e+00,5.708905860779998420e+01,6.515769060759372167e+01,8.000000000000000000e+01
4.000000000000000000e+00,6.501444546549470260e+01,7.340352154135459273e+01,8.000000000000000000e+01
4.500000000000000000e+00,7.284841647280182997e+01,8.123665117460096496e+01,8.000000000000000000e+01
5.000000000000000000e+00,8.057995639893046302e+01,8.861303880303343306e+01,8.000000000000000000e+01
5.500000000000000000e+00,8.819819403991826334e+01,9.549121169205521653e+01,8.000000000000000000e+01
6.000000000000000000e+00,9.569241750447064021e+01,1.018324982515728294e+02,8.000000000000000000e+01
6.500000000000000000e+00,1.030520892757926390e+02,1.076012454617434884e+02,8.000000000000000000e+01
7.000000000000000000e+00,1.102668610282355246e+02,1.127650193272222054e+02,8.000000000000000000e+01
7.500000000000000000e+00,1.173265881779244211e+02,1.172947872328823706e+02,8.000000000000000000e+01
8.000000000000000000e+00,1.242213441469077821e+02,1.211650811757394166e+02,8.000000000000000000e+01
8.500000000000000000e+00,1.309414343207716911e+02,1.243541409553281625e+02,8.000000000000000000e+01
9.000000000000000000e+00,1.374774096800939560e+02,1.268440365174656819e+02,8.000000000000000000e+01
9.500000000000000000e+00,1.438200800865706412e+02,1.286207687635383934e+02,8.000000000000000000e+01
1.000000000000000000e+01,1.499605272051335021e+02,1.296743482585270897e+02,8.000000000000000000e+01
1.050000000000000000e+01,1.558901170438891199e+02,1.299988513952444009e+02,8.000000000000000000e+01
1.100000000000000000e+01,1.616005120942472786e+02,1.295924536990094680e+02,8.000000000000000000e+01
1.150000000000000000e+01,1.670836830541683469e+02,1.284574400855079830e+02,8.000000000000000000e+01
1.200000000000000000e+01,1.723319201180463267e+02,1.266001920141653869e+02,8.000000000000000000e+01
1.250000000000000000e+01,1.773378438173524501e+02,1.240311516092601920e+02,8.000000000000000000e+01
1.300000000000000000e+01,1.820944153967966770e+02,1.207647629505030125e+02,8.000000000000000000e+01
1.350000000000000000e+01,1.865949467114175206e+02,1.168193908631657933e+02,8.000000000000000000e+01
1.400000000000000000e+01,1.908331096306837367e+02,1.122172176643535835e+02,8.000000000000000000e+01
1.450000000000000000e+01,1.948029449363850460e+02,1.069841184459483969e+02,8.000000000000000000e+01
1.500000000000000000e+01,1.984988707018009393e+02,1.011495155954297616e+02,8.000000000000000000e+01
1.550000000000000000e+01,2.019156901403649726e+02,9.474621337250944464e+01,8.000000000000000000e+01
1.600000000000000000e+01,2.050485989127897710e+02,8.781021347164961810e+01,8.000000000000000000e+01
1.650000000000000000e+01,2.078931918823774367e+02,8.038051260744040860e+01,8.000000000000000000e+01
1.700000000000000000e+01,2.104454693090168860e+02,7.249888326088421309e+01,8.000000000000000000e+01
1.750000000000000000e+01,2.127018424731596440e+02,6.420963881931159278e+01,8.000000000000000000e+01
1.800000000000000000e+01,2.146591387218649913e+02,5.555938443039791963e+01,8.000000000000000000e+01
1.850000000000000000e+01,2.163146059298205728e+02,4.659675497106892550e+01,8.000000000000000000e+01
1.900000000000000000e+01,2.176659163690649734e+02,3.737214160453076772e+01,8.000000000000000000e+01
1.950000000000000000e+01,2.187111699819716932e+02,2.793740846281932377e+01,8.000000000000000000e+01
2.000000000000000000e+01,2.194488970528919651e+02,1.834560104778273626e+01,8.000000000000000000e+01
2.050000000000000000e+01,2.198780602747003456e+02,8.650647989973821339e+00,8.000000000000000000e+01
2.100000000000000000e+01,2.199980562073366741e+02,-1.092942157729320352e+00,8.000000000000000000e+01
2.150000000000000000e+01,2.198087161262945983e+02,-1.083038738703603521e+01,8.000000000000000000e+01
2.200000000000000000e+01,2.193103062598621591e+02,-2.050694023862226700e+01,8.000000000000000000e+01
2.250000000000000000e+01,2.185035274147824680e+02,-3.006819561226283710e+01,8.000000000000000000e+01
2.300000000000000000e+01,2.173895139908596832e+02,-3.946039665209575276e+01,8.000000000000000000e+01
