t_s,x_m,y_m,z_m
0.000000000000000000e+00,1.500000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
5.000000000000000000e-01,1.495968473873545292e+02,1.099014339144658869e+01,8.000000000000000000e+01
1.000000000000000000e+00,1.483895566431392297e+02,2.192121071593837556e+01,8.000000000000000000e+01
1.500000000000000000e+00,1.463846173995908373e+02,3.273444346213040035e+01,8.000000000000000000e+01
2.000000000000000000e+00,1.435928069432990526e+02,4.337171652291905133e+01,8.000000000000000000e+01
2.500000000000000000e+00,1.400291322833234346e+02,5.377585063929257814e+01,8.000000000000000000e+01
3.000000000000000000e+00,1.357127494829944965e+02,6.389091975989994410e+01,8.000000000000000000e+01
3.500000000000000000e+00,1.306668606890206661e+02,7.366255166416695488e+01,8.000000000000000000e+01
4.000000000000000000e+00,1.249185894114073534e+02,8.303822023300010358e+01,8.000000000000000000e+01
4.500000000000000000e+00,1.184988347246047624e+02,9.196752779601507655e+01,8.000000000000000000e+01
5.000000000000000000e+00,1.114421051736066204e+02,1.004024760375699259e+02,8.000000000000000000e+01
5.500000000000000000e+00,1.037863332778157854e+02,1.082977240053831736e+02,8.000000000000000000e+01
6.000000000000000000e+00,9.557267162978703823e+01,1.156108318348453992e+02,8.000000000000000000e+01
6.500000000000000000e+00,8.684527168489086080e+01,1.223024888789164919e+02,8.000000000000000000e+01
7.000000000000000000e+00,7.765104643098578663e+01,1.283367250173265575e+02,8.000000000000000000e+01
7.500000000000000000e+00,6.803941821383659772e+01,1.336811040092153178e+02,8.000000000000000000e+01
8.000000000000000000e+00,5.806205307381029002e+01,1.383068978498687898e+02,8.000000000000000000e+01
8.500000000000000000e+00,4.777258302188710815e+01,1.421892411943213972e+02,8.000000000000000000e+01
9.000000000000000000e+00,3.722631774785593706e+01,1.453072650177397804e+02,8.000000000000000000e+01
9.500000000000000000e+00,2.647994731036855143e+01,1.476442087941146042e+02,8.000000000000000000e+01
1.000000000000000000e+01,1.559123740700264271e+01,1.491875105902584551e+02,8.000000000000000000e+01
1.050000000000000000e+01,4.618718862369918021e+00,1.499288745908218630e+02,8.000000000000000000e+01
1.100000000000000000e+01,-6.378626996615298417e+00,1.498643156913547898e+02,8.000000000000000000e+01
1.150000000000000000e+01,-1.734168538708352969e+01,1.489941809197104590e+02,8.000000000000000000e+01
1.200000000000000000e+01,-2.821152583393201496e+01,1.473231475706427602e+02,8.000000000000000000e+01
1.250000000000000000e+01,-3.892971894282497658e+01,1.448601980636249777e+02,8.000000000000000000e+01
1.300000000000000000e+01,-4.943865047969991622e+01,1.416185716590379400e+02,8.000000000000000000e+01
1.350000000000000000e+01,-5.968183106848739783e+01,1.376156932922714873e+02,8.000000000000000000e+01
1.400000000000000000e+01,-6.960419984230519219e+01,1.328730799082810563e+02,8.000000000000000000e+01
1.450000000000000000e+01,-7.915242041588935251e+01,1.274162248000869795e+02,8.000000000000000000e+01
1.500000000000000000e+01,-8.827516758830186916e+01,1.212744605729385086e+02,8.000000000000000000e+01
1.550000000000000000e+01,-9.692340323478180153e+01,1.144808014707614063e+02,8.000000000000000000e+01
1.600000000000000000e+01,-1.050506399047204837e+02,1.070717659124418617e+02,8.000000000000000000e+01
1.650000000000000000e+01,-1.126131907088236375e+02,9.908718019188010828e+01,8.000000000000000000e+01
1.700000000000000000e+01,-1.195704041522253931e+02,9.056996439699798884e+01,8.000000000000000000e+01
1.750000000000000000e+01,-1.258848826512399199e+02,8.156590169846437277e+01,8.000000000000000000e+01
1.800000000000000000e+01,-1.315226835591422230e+02,7.212339224829723605e+01,8.000000000000000000e+01
1.850000000000000000e+01,-1.364535016203910232e+02,6.229319301122669827e+01,8.000000000000000000e+01
1.900000000000000000e+01,-1.406508318725347237e+02,5.212814492732276506e+01,8.000000000000000000e+01
1.950000000000000000e+01,-1.440921121201428434e+02,4.168288887248801444e+01,8.000000000000000000e+01
2.000000000000000000e+01,-1.467588442149130969e+02,3.101357194363254521e+01,8.000000000000000000e+01
2.050000000000000000e+01,-1.486366934900290460e+02,2.017754564735642475e+01,8.000000000000000000e+01
2.100000000000000000e+01,-1.497155658142718551e+02,9.233057614486972042e+00,8.000000000000000000e+01
2.150000000000000000e+01,-1.499896618516917215e+02,-1.761061502382301525e+00,8.000000000000000000e+01
2.200000000000000000e+01,-1.494575082351740036e+02,-1.274571426530871143e+01,8.000000000000000000e+01
2.250000000000000000e+01,-1.481219654863297421e+02,-2.366185412148723088e+01,8.000000000000000000e+01
2.300000000000000000e+01,-1.459902126391388606e+02,-3.445080280021097252e+01,8.000000000000000000e+01
2.350000000000000000e+01,-1.430737086499994746e+02,-4.505456573017945487e+01,8.000000000000000000e+01
2.400000000000000000e+01,-1.393881308016185017e+02,-5.541614378167156474e+01,8.000000000000000000e+01
2.450000000000000000e+01,-1.349532904318449482e+02,-6.547983965785276439e+01,8.000000000000000000e+01
2.500000000000000000e+01,-1.297930264404353977e+02,-7.519155728825171536e+01,8.000000000000000000e+01
2.550000000000000000e+01,-1.239350771461908209e+02,-8.449909261505550262e+01,8.000000000000000000e+01
2.600000000000000000e+01,-1.174109311832809084e+02,-9.335241420914017851e+01,8.000000000000000000e+01
2.650000000000000000e+01,-1.102556582382419634e+02,-1.017039322074224827e+02,8.000000000000000000e+01
2.700000000000000000e+01,-1.025077205375004326e+02,-1.095087541258949244e+02,8.000000000000000000e+01
2.750000000000000000e+01,-9.420876609874525798e+01,-1.167249261732553265e+02,8.000000000000000000e+01
