t_s,x_m,y_m,z_m
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+01
5.000000000000000000e-01,1.100000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+01
1.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+01
1.500000000000000000e+00,3.300000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+01
2.000000000000000000e+00,4.400000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+01
2.500000000000000000e+00,5.500000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+01
3.000000000000000000e+00,6.600000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+01
3.500000000000000000e+00,7.700000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+01
4.000000000000000000e+00,8.800000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+01
4.500000000000000000e+00,9.900000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+01
5.000000000000000000e+00,1.100000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
5.500000000000000000e+00,1.210000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
6.000000000000000000e+00,1.320000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
6.500000000000000000e+00,1.430000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
7.000000000000000000e+00,1.540000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
7.500000000000000000e+00,1.650000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
8.000000000000000000e+00,1.760000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
8.500000000000000000e+00,1.870000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
9.000000000000000000e+00,1.980000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
9.500000000000000000e+00,2.090000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
1.000000000000000000e+01,2.200000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
1.050000000000000000e+01,2.310000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
